OBJECTID,DamSiteID,SiteID,X_Dam,Y_Dam,Z_Dam,H_Dam,W_Dam,L_Dam,V_Dam,V/H,H_LS,R_LS,R_LS_3D,L_LS,H_R_ratio,H_R3D_ratio,H_L_ratio,A_LS_debris_sum,V_LS_debris_sum,Material_LS,Type_LS,Trigger,Type_Dam,DBI,Upstream_Catchment_Area,Ac (m2),W_Channel_at_Dam,Grad_Channel_at_Dam,DateFormed_Dam,FailureMech_Dam,Dam_breach,Dam_breach_details,Dam_Stability,Q_at_Failure,Confidence,Notes,Comments,References,SUBSET,MetadataID,CatchmentID,Review_comments,Source_V,Velocity,Catchment_Emin,Catchment_Emax,TAG
65,Burnet Stream 980,Burnet Stream 980,1468416,5234496,994,35,1010,250,3591482,102613.7714,618,1146,1358,568,0.539267,0.455081,1.0880282,357756.7188,758201.625,Rock,Avalanche,Miscellaneous,III,2.04807,11.4624,11462400,150,3.8389981,7270 +/- 70 yr BP,Unknown,Complete Breach,Natural,Dam breached,,,,Date formed was taken in 1983; inferred lake; landslide #16,Whitehouse (1983); SC mapping,Yes,54,280,<Null>,606561.3125,5000,994,2307,
570,Callery 1180,Callery 1180,1381969,5188759,1058,10,480,230,358937,35893.7,749,1474,1656,1373,0.5081411,0.4522947,0.5455208,173020.8594,10200203,Debris,Debris flow,Miscellaneous,I,2.444612,9.991488,9991488,120,,Anthropocene,Unknown,Partial Breach A,note incremental landslide feeds dam,Long-term stable,,High,,Debris flows off translational landslide; note source geology is half basement/half quat debris; Incremental landslide,SC mapping,Yes,54,1076,<Null>,8160162.5,500,1058,2345,
572,Callery 280,Callery 280,1374128,5188152,280,20,75,85,41592,2079.6,227,262,350,259,0.8664122,0.6485714,0.8764479,7040.952148,6709.224121,Rock,Fall,Miscellaneous,I,4.6312361,88.964288,88964288,50,1.4502519,9/6/2011,Overtopping,Complete Breach,Already overtopping By 7/9/2011; estimated Q at failure will be 500-100 m3/s,Dam breached,,High,,<Null>,Beaumont (2011); SC mapping,Yes,54,1078,,5367.379395,5000,280,3101,
18,Chalice,Chalice,1624960,5397416,774,10,640,435,752746,75274.6,700,2013,2134,1974,0.3477397,0.3280225,0.3546099,462511.4063,14183018,Rock,Planar slide,Earthquake,I,2.2818916,14.405888,14405888,100,9.92768,210 BC / 2160 yr BP,Not failed,No Breach,existing lake,Long-term stable,,,,Possibly earthquake-triggered,Perrin & Hancox (1992); RM mapping; AW mapping,Yes,3,217,,11346414,5000,763,1519,
107,Charwell 520,Charwell 520,1629015,5308576,540,5,155,60,18186,3637.2,157,304,342,306,0.5164474,0.4590643,0.5130719,21374.15625,25185.45703,Soil,Earthflow,Earthquake,II,3.740617,20.01632,20016320,70,2.1163781,11/14/2016,Unknown,Complete Breach,16/11/16; failed fully(?) between 9/18-9/19,Dam breached,,,,2016 Kaikoura Earthquake; RM split sources; Hazard downgraded by S C*,"Massey et al. (2018, 2019, 2021); AW modified",Yes,3,329,<Null>,20148.36523,0.005,539,1589,
28,Christabel,Christabel,1535672,5304639,660,100,2280,1310,91658648,916586.48,1072,3699,3877,2618,0.2898081,0.2765025,0.4094729,2788741.75,24767502,Rock,Avalanche,Unknown,III,1.7122318,47.250368,47250368,750,3.2265332,950 AD/c.1000 yr BP,Not failed,No Breach,existing lake,Long-term stable,,High,<Null>,Dated at between 1600-3000 years old,Perrin & Hancox (1992); RM mapping; Heron (2020); SC mapping,Yes,54,229,,19814002,5000,658,1775,
438,Colenso,Colenso,1869392,5603898,721,10,1115,480,2029406,202940.6,308,1377,1423,871,0.2236747,0.2164441,0.3536165,745659.5,1829695.5,Rock,Planar slide,Miscellaneous,II,1.7548622,11.540672,11540672,100,2.6385779,,Overtopping,Partial Breach A,<Null>,Dam breached,,Moderate,,lake extent uncertain,Korup (2011); SC mapping,Yes,54,934,<Null>,1463756.375,5000,720,1527,
53,Constance,Constance,1571760,5342696,1365,40,1030,1300,16616982,415424.55,968,2324,2531,2098,0.4165232,0.3824575,0.4613918,1043640,4556984,Rock,Complex,Unknown,III,1.4468826,11.624512,11624512,660,12.860899,Prehistoric,Not failed,No Breach,existing lake,Long-term stable,,High,,,Perrin & Hancox (1992); RM mapping; AW mapping,Yes,3,265,,3645587.25,0.005,1338,2287,
114,Conway 420,Conway 420,1621672,5304018,440,10,245,85,81151,8115.1,427,796,914,775,0.5364321,0.4671772,0.5509678,113529.3594,270030.5,Rock,Complex,Earthquake,II,3.5725417,30.327424,30327424,60,0.3995761,11/14/2016,Piping (including headward erosion),Complete Breach,Partial: 21/11/16 & btwn 29/3/-8/4/17 (Cy Debbie?); full: 8/6/-10/8/21,Dam breached,,,,"2016 Kaikoura Earthquake; Dam remains intact. Lake has dropped ~2 or 3m, fl*","Massey et al. (2018, 2019, 2021); AW modified",Yes,3,337,,216024.4063,0.005,440,1582,
193,Dee 560,Dee 560,1661630,5350704,473,5,130,60,13119,2623.8,258,559,617,540,0.4615385,0.4181524,0.4777778,55317.16016,12716.31934,Mixed,Avalanche,Earthquake,II,3.5446184,9.194944,9194944,90,5.9474101,11/14/2016,Overtopping,Complete Breach,breached between 9/18 and 4/19,Dam breached,,,,2016 Kaikoura Earthquake; Slide at upper end of limestone gorge partially b*,"Massey et al. (2018, 2019, 2021)",Yes,79,421,<Null>,10173.05566,5000,473,1998,
501,Delta Tarn,Delta Tarn,1237256,5102752,427,10,255,50,50707,5070.7,620,682,934,717,0.9090909,0.6638116,0.8647141,44028.48438,124003.0313,Debris,Debris flow,Miscellaneous,I,2.8666763,3.730304,3730304,250,,,Not failed,No Breach,existing/former (silted) lake,Long-term stable,,Moderate,,<Null>,Korup (2011); SC mapping,Yes,54,1001,,99202.42188,500,426,1160,
472,Disappearing Lake,Disappearing Lake,1245689,5109792,464,20,610,400,1526526,76326.3,423,1400,1471,964,0.3021429,0.2875595,0.4387967,252369.1563,1588126.5,Debris,Debris flow,Miscellaneous,II,1.3703068,1.790528,1790528,200,4.8821797,,Piping (including headward erosion),Partial Breach A,"partial, dam stable",Long-term stable,,High,,looks like dam erosion occurred,Korup (2011); SC mapping,Yes,54,968,,1270501.25,500,464,947,
39,Discovery,Discovery,1552264,5452105,893,20,350,160,423668,21183.4,462,764,896,554,0.6047121,0.515625,0.833935,169949.4688,183250,Rock,Avalanche,Earthquake,II,2.3040757,4.266496,4266496,100,15.4462013,Prehistoric,Not failed,No Breach,existing/former (silted) lake; silted up,Infilled,,,,,"Hancox et al. (1997, 2002); SC mapping",Yes,54,245,<Null>,146600,5000,892,1554,
43,Dora,Dora,1531991,5402073,135,15,560,300,1026066,68404.4,377,1125,1202,1064,0.3351111,0.3136439,0.3543233,402617.4063,3060223.5,Rock,Planar slide,Miscellaneous,I,2.1426616,9.50048,9500480,1460,2.5749147,,Not failed,No Breach,existing/former (silted) lake,Long-term eroded,,,,<Null>,Perrin & Hancox (1992); RM mapping; AW mapping,Yes,3,252,,2448178.75,5000,132,884,
534,Douglas 820,Douglas 820,1349936,5159304,822,65,845,130,2494630,38378.92308,655,1235,1400,970,0.5303644,0.4678572,0.6752577,314876.4688,3063453.75,Rock,Planar slide,Miscellaneous,II,3.1941464,60.01216,60012160,150,5.06177,Holocene,Unknown,Partial Breach A,silted plus erosion channel,Dam breached,,High,,Landslide #64,Allen et al. (2011); Korup (2011); SC mapping,Yes,54,1035,<Null>,2450763,5000,822,3130,
38,Downey,Downey,1554261,5450224,794,15,615,145,458398,30559.86667,441,709,847,431,0.6220028,0.5206612,1.0232018,139212.9219,456453.375,Rock,Avalanche,Earthquake,I,2.2435932,5.354816,5354816,110,8.1452408,5/24/1968,Not failed,No Breach,existing/former (silted) lake; silted up,Infilled,,,,,"Hancox et al. (1997, 2002); SC mapping",Yes,54,244,<Null>,365162.6875,5000,792,1572,
41,Duffy Creek 800,Duffy Creek 800,1522264,5319164,797,55,300,235,1231495,22390.81818,535,789,979,699,0.6780735,0.546476,0.7653791,83824.53125,858907.4375,Rock,Avalanche,Earthquake,II,2.2079356,3.614144,3614144,140,4.0746732,Holocene,Not failed,No Breach,former lake; silted up,Infilled,,High,,Possibly earthquake-triggered,Perrin & Hancox (1992); RM mapping; SC mapping,Yes,54,247,<Null>,687125.9375,5000,797,1607,
122,Dunbar 880,Dunbar 880,1609183,5298520,894,2,45,10,334,167,40,35,53,36,1.1428572,0.754717,1.1111112,333.9241943,475.3851318,Rock,Fall,Earthquake,I,4.1561494,2.392576,2392576,30,,11/14/2016,Unknown,Complete Breach,between 2018-12/2019,Dam breached,,,,2016 Kaikoura Earthquake; Small debris cones and ponding. River running and*,"Massey et al. (2018, 2019, 2021)",Yes,79,345,RM: DT not separated - OK FOR NOW,380.3081055,5000,894,1742,
99,Earthquake Lakes B,Earthquake Lakes B,1554920,5438233,240,10,440,210,401442,40144.2,773,1935,2158,1965,0.3994832,0.358202,0.3933842,338209.1563,2070709.25,Rock,Complex,Earthquake,II,4.1462045,562.117696,562117696,180,0.0591201,6/17/1929,Overtopping,Complete Breach,<Null>,Dam breached,,,,Dimensions may just relate to the downstream-most lake?,Perrin & Hancox (1992); RM mapping; Hancox et al. (2016); AW mapping,Yes,3,321,<Null>,1656567.375,0.005,240,1802,
595,Easy Stream 1040 A,Easy Stream 1040,1474728,5232896,997,30,415,150,499432,16647.73333,361,758,851,455,0.4762533,0.4242068,0.7934066,80974.78125,888468.5,Rock,Avalanche,Miscellaneous,I,2.2879443,3.23072,3230720,70,7.9039841,Holocene,Unknown,Complete Breach,<Null>,Dam breached,,Moderate,Multi dams,small lakes inferred,Allen et al. (2011); SC mapping,Yes,54,1101,,710774.8125,5000,997,2085,
42,Edwards,Edwards,1571279,5303272,676,15,660,460,1564752,104316.8,362,938,1028,716,0.3859275,0.3521401,0.5055866,309487.8438,519254,Rock,Avalanche,Earthquake,III,2.8577337,75.177536,75177536,780,1.6214966,Holocene,Unknown,Complete Breach,Natural,Dam breached,,Low,,"Have moved on to centreline, but uncertain if dammed; inferred lake",Perrin & Hancox (1992); RM mapping; AW mapping,Yes,3,250,<Null>,415403.1875,5000,676,1864,
27,Eight Mile,Eight Mile,1544921,5360480,414,25,990,330,2425439,97017.56,464,994,1124,611,0.4668008,0.4128114,0.7594108,387056.6563,1015982,Rock,Avalanche,Earthquake,I,1.6562295,4.396224,4396224,110,5.9476538,Prehistoric (c.1650),Not failed,No Breach,existing/former (silted) lake,Long-term stable,,,,<Null>,Perrin & Hancox (1992); RM mapping; AW mapping,Yes,3,228,,812785.625,5000,412,1003,
37,Ellis Stream 1060,Ellis Stream 1060,1515920,5263120,1073,10,375,95,150903,15090.3,464,1121,1217,962,0.4139161,0.3812654,0.4823285,287264.4063,244549.5625,Rock,Planar slide,Earthquake,I,1.9453366,1.33056,1330560,80,5.5122099,6/17/1929,Unknown,Partial Breach B,<Null>,Dam breached,,High,,translational slide and debris flows from the toe area; Originally listed as 9M m3 V,Hancox et al. (1997); Korup (2006); SC mapping,Yes,54,243,<Null>,195639.6563,5000,1072,1562,
6,Elmer,Elmer,1540032,5453606,602,50,1115,715,13678856,273577.12,664,1761,1923,1368,0.3770585,0.3452938,0.4853801,815763.0625,1192598.375,Rock,Avalanche,Earthquake,III,1.8340099,18.667648,18667648,660,2.8487992,6/17/1929,Not failed,No Breach,existing lake,Long-term eroded,,High,,,Perrin & Hancox (1992); RM mapping; Nash (2003); SC mapping,Yes,54,204,,954078.6875,5000,602,1640,
599,Falling Mountain (Otehake River) A,Falling Mountain (Otehake River),1492406,5252352,877,25,575,335,1947488,77899.52,1177,4072,4318,1291,0.2890472,0.2725799,0.9116964,1796711.625,2561425,Rock,Avalanche,Unknown,I,1.3161147,1.613056,1613056,300,6.6423974,Holocene,Unknown,Complete Breach,breached,Dam breached,,High,Multi dams,,Davies & McSaveney (2011); Korup (2004); SC mapping,Yes,54,1105,,2049140,5000,877,2141,
600,Falling Mountain (Otehake River) B,Falling Mountain (Otehake River),1492895,5252615,877,25,900,360,3177166,127086.64,1177,4072,4318,1291,0.2890472,0.2725799,0.9116964,1796711.625,2561425,Rock,Avalanche,Unknown,I,0.7385094,0.696,696000,190,8.9858284,Holocene,Unknown,Complete Breach,breached,Dam breached,,High,Multi dams,,Davies & McSaveney (2011); Korup (2004); SC mapping,Yes,54,1106,<Null>,2049140,5000,877,1706,
754,Falling Mountain (Otehake River) C,Falling Mountain (Otehake River),1491586,5249868,1239,70,2470,800,35863208,512331.5429,1177,4072,4318,1291,0.2890472,0.2725799,0.9116964,1796711.625,2561425,Rock,Avalanche,Unknown,III,0.3695375,1.199744,1199744,260,,,Not failed,No Breach,changed river course,Long-term stable,,,,,Davies & McSaveney (2011); Korup (2004); SC mapping,Yes,54,1280,RM: do not calculate gradient (min elevation on a different stream),2049140,5000,1239,1962,No gradient
9,Falls,Falls,1520775,5411815,92,20,660,380,1632095,81604.75,232,1558,1577,1467,0.1489089,0.1471148,0.1581459,368362.1563,3530804.5,Rock,Planar slide,Earthquake,II,2.2886658,15.862848,15862848,140,2.111855,6/17/1929,Not failed,No Breach,existing lake,Long-term stable,,High,,,Perrin & Hancox (1992); RM mapping; AW mapping,Yes,3,207,,2824643.5,5000,92,893,
88,Fanny 30,Fanny 30,1122615,4912079,24,10,1025,385,1489378,148937.8,1019,2092,2378,1814,0.4870937,0.4285114,0.561742,503705.1875,10020559,Rock,Avalanche,Earthquake,II,2.4880214,45.81696,45816960,350,1.8248118,Holocene,Not failed,Partial Breach A,existing/former (silted) lake; minor stream through dam,Long-term stable,,High,,<Null>,Perrin & Hancox (1992); RM mapping; Heron (2020); SC mapping,Yes,54,308,<Null>,8016447,5000,24,1344,
602,Ferris Creek 550,Ferris Creek 550,1545712,5441496,545,40,1210,360,6537824,163445.6,806,1657,1868,1009,0.4864213,0.4314775,0.7988107,474452,1731071.25,Rock,Avalanche,Miscellaneous,III,1.4282246,4.381248,4381248,280,11.0407753,,Unknown,Complete Breach,no sign of lake,Long-term eroded,,,,<Null>,Nash (2003); SC mapping,Yes,54,1108,RM: no lake mapped - OK FOR NOW,1384857,5000,545,1446,<Null>
2,Folger,Folger,1876696,5581776,369,10,490,220,357711,35771.1,284,877,941,698,0.3238312,0.3018066,0.4068768,148050.2813,402275.5938,Mixed,Complex,Miscellaneous,II,3.3376262,77.832064,77832064,180,1.2588319,7/1/1968,Slope failure,Complete Breach,spillway dug; slope stabilisation complted b4 LS; channel blasted to river level,Short-term eroded,,High,,Newspaper article has area reported; anthropogenic trigger? at least partially anthropogenically-impacted; was larger - eroded,Perrin & Hancox (1992); RM mapping; Drummond (1968); AW mapping,Yes,3,200,<Null>,321820.4688,0.005,369,1678,
387,Gair Loch 260,Gair Loch 260,1140232,4930600,256,25,475,185,805224,32208.96,486,550,769,481,0.8836364,0.6319896,1.0103951,156527.8906,150043.3594,Rock,Fall,Miscellaneous,I,3.2166445,53.042176,53042176,240,3.937505,Holocene,Unknown,Partial Breach A,"partial breach, stable",Long-term eroded,,High,,"Large boulders in dam, visible GoogleEarth",Adams (1981); Perrin & Hancox (unpublished); SC mapping,Yes,54,840,<Null>,120034.6875,5000,252,1757,
127,Gelt 360,Gelt 360,1621209,5289839,341,5,90,30,5082,1016.4,150,258,299,257,0.5813953,0.5016723,0.5836576,20020.19922,30182.67773,Soil,Earthflow,Earthquake,II,3.8255668,6.80192,6801920,90,0.7965869,11/14/2016,Overtopping,Complete Breach,"scour, dep, between 7/17-9/19",Dam breached,,,,2016 Kaikoura Earthquake; Lake still present but appears to have breached. *,"Massey et al. (2018, 2019, 2021)",Yes,79,350,RM: no lake mapped - OK FOR NOW,24146.14258,0.005,341,988,<Null>
506,Glamour Torrent,Glamour Torrent,1415260,5217111,1012,15,365,175,392965,26197.66667,410,623,747,363,0.6581059,0.5488621,1.1294765,110908.7188,101366.3203,Mixed,Planar slide,Miscellaneous,II,1.4140828,0.679744,679744,70,18.7268314,,Unknown,Complete Breach,breached via overtopping? erosion!,Dam breached,,,,<Null>,Korup (2011); SC mapping,Yes,54,1006,RM: no lake mapped - OK FOR NOW,81093.05469,0.005,1012,1885,<Null>
8,Glasseye,Glasseye,1522089,5415096,41,35,1145,445,4863495,138957,324,1426,1466,1531,0.227209,0.2210096,0.2116264,791558.6875,3960417.25,Rock,Avalanche,Earthquake,I,2.2256935,23.36544,23365440,130,0.4098828,6/17/1929,Unknown,Partial Breach A,existing lake; partial breach,Long-term stable,,High,,,Perrin & Hancox (1992); RM mapping; Nash (2003); SC mapping,Yes,54,206,<Null>,3168333.75,5000,39,806,
359,Gorge Burn 700,Gorge Burn 700,1157520,4968511,700,5,325,85,46264,9252.8,317,467,612,313,0.6788009,0.5179738,1.0127796,47941.13672,32798.19531,Mixed,Avalanche,Miscellaneous,I,2.8443356,6.4656,6465600,230,4.5339451,pre-2013,Unknown,Complete Breach,breached via overtopping?,Dam breached,,High,,<Null>,SC mapping,Yes,54,811,,26238.55664,5000,700,1615,
61,Goulter,Goulter,1614146,5392528,380,70,1330,625,21737700,310538.5714,577,1896,2010,1379,0.3043249,0.2870647,0.4184192,1023819.75,990652.375,Rock,Planar slide,Earthquake,III,1.8292532,20.958912,20958912,160,0.8671049,Prehistoric,Unknown,Complete Breach,Natural,Long-term eroded,,,,,Perrin & Hancox (1992); RM mapping; AW mapping,Yes,3,276,RM: no lake mapped - OK FOR NOW,792521.875,5000,380,1366,<Null>
607,Graham,Graham,1581479,5438920,391,80,610,670,12049678,150620.975,624,1230,1403,1045,0.5073171,0.4447612,0.5971292,497570.5625,1724597.5,Rock,Planar slide,Miscellaneous,II,1.7294674,8.078912,8078912,400,7.7990475,Immed. post-LG?,Slope failure,Complete Breach,"silted up, partial breach?",Dam breached,,High,Multi dams,"Lake likely extensive, considerable duration and rapid release",Perrin & Hancox (1992); RM mapping; AW mapping,Yes,3,1114,,1379678,5000,390,1442,
298,Greenstone 380,Greenstone 380,1229092,5012199,379,10,145,70,112421,11242.1,583,769,968,749,0.7581275,0.6022727,0.7783712,52332.09766,59526.68359,Debris,Debris flow,Rainfall,I,4.1970763,176.979776,176979776,350,,11/14/1999,Unknown,Complete Breach,former lake,Dam breached,,Moderate,,"Fresh scar inferred to be the 1999 landslide, but Landslide Catalogue initially said translational; Size of dam inferred",Landslide Catalogue (Rosser et al. 2017); RM mapping; Korup (2005); SC mapping,Yes,54,545,,47621.34766,500,379,2091,
532,Gunn 1140,Gunn 1140,1385945,5193608,1118,10,635,75,173739,17373.9,669,1227,1405,941,0.5452323,0.4761566,0.7109458,34747.70703,7306716,Rock,Slope deformation,Miscellaneous,II,2.9314842,14.838208,14838208,90,8.9990578,Holocene,Unknown,Complete Breach,"silted up, partial breach?",Dam breached,,Low,,translational slide may impact on flow of Gunn River; creeping,Allen et al. (2011); SC mapping,Yes,54,1033,RM: DT not separated - OK FOR NOW,5845373,0.0000005,1118,2213,
332,Hangaroa 1988,Hangaroa 1988,2012072,5706805,340,5,170,150,43821,8764.2,186,506,542,459,0.3675889,0.3431734,0.4052288,70033.03125,15614.34668,Rock,Planar slide,Rainfall,II,1.7084416,0.447872,447872,90,5.9030242,3/7/1988,Overtopping,Complete Breach,former lake; spillway dug,Short-term eroded,,,,No evidence of lake,Costa & Schuster (1991); RM mapping; AW mapping,Yes,3,778,<Null>,12491.47754,5000,340,570,
22,Hanlon,Hanlon,1524943,5413899,72,25,1145,665,6189814,247592.56,184,1326,1347,1016,0.1387632,0.1365999,0.1811024,1065646.25,2422499.5,Mixed,Rotational slide,Earthquake,II,0.5949426,0.974272,974272,260,1.6270307,Prehistoric (c.1650),Not failed,No Breach,existing lake,Long-term stable,,,,landslide not convincing?; Possibly earthquake-triggered,Perrin & Hancox (1992); RM mapping; AW mapping,Yes,3,223,,1937999.625,0.005,72,199,
130,Hapuku 740,Hapuku 740,1655400,5322952,786,85,780,450,6600000,77647.05882,1357,2341,2711,2155,0.5796668,0.5005533,0.6296984,524786.125,7722939.5,Rock,Complex,Earthquake,III,2.0542755,8.798336,8798336,170,5.4956756,11/14/2016,Piping (including headward erosion),Partial Breach B,1st partial breach via headward erosion & overtopping 28/3-20/4/16,Dam breached,,,,2016 Kaikoura Earthquake. Lake level slowly rising and nearing top of dam. *,"Massey et al. (2018, 2019, 2021); Wolter et al. (2022); AW modified",Yes,3,354,RM: overlapping polygons OK (AW: full dam extent for detailed case studies),6178351.5,0.005,786,2359,
439,HB22528,HB22528,1942336,5591161,40,2,40,60,1702,851,42,222,226,206,0.1891892,0.1858407,0.2038835,5638.457031,1368.049927,Debris,Debris flow,Rainfall,I,4.0279083,9.074816,9074816,50,0.0244157,25-28/4/2011,Unknown,Complete Breach,<Null>,Dam breached,,Low,,No lake visible,Jones et al. (2011); AW mapping,Yes,3,935,,1094.439941,500,40,383,
